Order Date,Category,Website,Condition,List Price Per Unit,Purchase Price Per Unit,Quantity,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
5/6/19,,Amazon.com,new,$0.00 ,$13.99 ,1,$13.99 ,$0.00 ,$13.99 ,,,,USD,
5/6/19,Home,Amazon.com,new,$0.00 ,$37.99 ,1,$37.99 ,$2.28 ,$40.27 ,,,,USD,
5/12/19,Electronics,Amazon.com,new,$8.95 ,$6.99 ,1,$6.99 ,$0.00 ,$6.99 ,,,,USD,
5/12/19,Apparel,Amazon.com,new,$0.00 ,$22.99 ,1,$22.99 ,$0.00 ,$22.99 ,,,,USD,
5/12/19,Sports,Amazon.com,new,$0.00 ,$19.99 ,1,$19.99 ,$0.00 ,$19.99 ,,,,USD,
5/12/19,Misc.,Amazon.com,new,$0.00 ,$12.99 ,1,$12.99 ,$0.00 ,$12.99 ,,,,USD,
5/12/19,Health and Beauty,Amazon.com,new,$0.00 ,$19.95 ,1,$19.95 ,$0.00 ,$19.95 ,,,,USD,
5/12/19,Apparel,Amazon.com,new,$0.00 ,$14.99 ,1,$14.99 ,$0.00 ,$14.99 ,,,,USD,
5/12/19,Misc.,Amazon.com,new,$0.00 ,$12.99 ,1,$12.99 ,$0.00 ,$12.99 ,,,,USD,
5/13/19,Health and Beauty,Amazon.com,new,$24.00 ,$14.95 ,1,$14.95 ,$0.00 ,$14.95 ,,,,USD,
5/19/19,Apparel,Amazon.com,new,$0.00 ,$19.99 ,1,$19.99 ,$0.00 ,$19.99 ,,,,USD,
5/19/19,Apparel,Amazon.com,new,$14.98 ,$11.98 ,1,$11.98 ,$0.72 ,$12.70 ,,,,USD,
5/27/19,Kitchen,Amazon.com,new,$0.00 ,$41.99 ,1,$41.99 ,$0.00 ,$41.99 ,,,,USD,
5/27/19,Misc.,Amazon.com,new,$0.00 ,$17.99 ,1,$17.99 ,$0.00 ,$17.99 ,,,,USD,
5/27/19,Kitchen,Amazon.com,new,$0.00 ,$18.99 ,1,$18.99 ,$0.00 ,$18.99 ,,,,USD,
6/1/19,Kitchen,Amazon.com,new,$0.00 ,$17.50 ,1,$17.50 ,$0.00 ,$17.50 ,,,,USD,
6/1/19,Misc.,Amazon.com,new,$29.99 ,$19.87 ,1,$19.87 ,$0.00 ,$19.87 ,,,,USD,
6/1/19,,Amazon.com,new,$0.00 ,$21.99 ,1,$21.99 ,$0.00 ,$21.99 ,,,,USD,
6/1/19,Grocery,Amazon.com,new,$14.49 ,$13.49 ,1,$13.49 ,$0.00 ,$13.49 ,,,,USD,
6/1/19,Grocery,Amazon.com,new,$0.00 ,$7.34 ,1,$7.34 ,$0.00 ,$7.34 ,,,,USD,
6/2/19,Paperback,Amazon.com,new,$99.00 ,$94.60 ,1,$94.60 ,$5.68 ,$100.28 ,,,,USD,
6/3/19,Kitchen,Amazon.com,new,$6.99 ,$6.99 ,1,$6.99 ,$0.42 ,$7.41 ,,,,USD,
6/3/19,Apparel,Amazon.com,new,$24.99 ,$12.50 ,2,$25.00 ,$1.50 ,$26.50 ,,,,USD,
6/3/19,Office Product,Amazon.com,new,$0.00 ,$7.28 ,1,$7.28 ,$0.00 ,$7.28 ,,,,USD,
6/3/19,,Amazon.com,new,$25.99 ,$15.99 ,1,$15.99 ,$0.00 ,$15.99 ,,,,USD,
6/3/19,,Amazon.com,new,$0.00 ,$15.95 ,1,$15.95 ,$0.00 ,$15.95 ,,,,USD,
6/3/19,Kitchen,Amazon.com,new,$5.29 ,$3.91 ,1,$3.91 ,$0.24 ,$4.15 ,,,,USD,
6/3/19,Kitchen,Amazon.com,new,$34.32 ,$29.11 ,1,$29.11 ,$1.75 ,$30.86 ,,,,USD,
6/3/19,,Amazon.com,new,$0.00 ,$15.95 ,1,$15.95 ,$0.00 ,$15.95 ,,,,USD,
6/18/19,Lawn & Patio,Amazon.com,new,$4.99 ,$14.99 ,1,$14.99 ,$0.90 ,$15.89 ,,,,USD,
6/18/19,Lawn & Patio,Amazon.com,new,$24.99 ,$7.99 ,1,$7.99 ,$0.48 ,$8.47 ,,,,USD,
6/18/19,Baby Product,Amazon.com,new,$0.00 ,$17.99 ,1,$17.99 ,$0.00 ,$17.99 ,,,,USD,
6/18/19,Apparel,Amazon.com,new,$24.99 ,$14.99 ,1,$14.99 ,$0.90 ,$15.89 ,,,,USD,
6/18/19,Electronics,Amazon.com,new,$0.00 ,$22.99 ,2,$45.98 ,$0.00 ,$45.98 ,,,,USD,
6/18/19,Lawn & Patio,Amazon.com,new,$29.99 ,$10.99 ,1,$10.99 ,$0.00 ,$10.99 ,,,,USD,
6/21/19,Health and Beauty,Amazon.com,new,$79.89 ,$69.99 ,1,$69.99 ,$4.20 ,$74.19 ,,,,USD,
6/21/19,Baby Product,Amazon.com,new,$24.99 ,$18.99 ,1,$18.99 ,$1.14 ,$20.13 ,,,,USD,
6/21/19,Health and Beauty,Amazon.com,new,$11.99 ,$8.98 ,1,$8.98 ,$0.54 ,$9.52 ,,,,USD,
6/21/19,Health and Beauty,Amazon.com,new,$27.00 ,$27.00 ,1,$27.00 ,$1.62 ,$28.62 ,,,,USD,
6/21/19,Baby Product,Amazon.com,new,$0.00 ,$5.32 ,1,$5.32 ,$0.32 ,$5.64 ,,,,USD,
6/21/19,Baby Product,Amazon.com,new,$14.99 ,$12.99 ,1,$12.99 ,$0.78 ,$13.77 ,,,,USD,
